City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Kapaa,22.0752,-159.319,71.6,49,40,13.8,US
Lata,40.1629,-8.3327,55.0,90,92,1.99,PT
Guerrero Negro,27.9769,-114.0611,57.9,85,0,11.88,MX
Tasiilaq,65.6145,-37.6368,14.0,62,75,3.44,GL
Ţaga,46.95,24.05,43.0,100,75,2.3,RO
Brae,60.3964,-1.353,33.96,87,93,6.93,GB
Kamaishi,39.2667,141.8833,33.8,86,75,11.5,JP
Vaini,-21.2,-175.2,78.8,94,75,17.27,TO
Naze,28.3667,129.4833,66.2,48,40,9.22,JP
Qaanaaq,77.484,-69.3632,13.73,80,0,8.39,GL
Deputatsky,69.3,139.9,-21.59,88,34,2.48,RU
Hermanus,-34.4187,19.2345,64.0,91,75,4.0,ZA
Teya,60.3778,92.6267,-4.07,85,100,11.41,RU
Ushuaia,-54.8,-68.3,60.8,72,0,3.44,AR
Ivybridge,50.3904,-3.9191,32.0,71,97,11.99,GB
Port Alfred,-33.5906,26.891,68.0,95,0,3.69,ZA
Khatanga,71.9667,102.5,-13.58,85,0,7.92,RU
George Town,5.4112,100.3354,87.8,66,20,4.61,MY
Saldanha,-33.0117,17.9442,62.6,82,0,3.44,ZA
Rikitea,-23.1203,-134.9692,78.94,71,33,6.89,PF
Busselton,-33.65,115.3333,66.99,58,0,3.0,AU
Albany,42.6001,-73.9662,21.99,86,2,7.05,US
Tacuarembó,-31.7333,-55.9833,63.91,94,99,5.1,UY
Atuona,-9.8,-139.0333,79.41,77,49,18.21,PF
Hilo,19.7297,-155.09,73.4,64,75,17.27,US
Omboué,-1.5746,9.2618,76.62,90,98,3.47,GA
Port Elizabeth,-33.918,25.5701,64.4,94,75,2.3,ZA
Avarua,-21.2078,-159.775,84.2,74,20,6.91,CK
Forotic,45.2303,21.5875,46.4,93,90,2.3,RO
Raudeberg,61.9875,5.1352,28.99,82,90,6.02,NO
Upernavik,72.7868,-56.1549,9.14,75,0,2.24,GL
Puerto Ayora,-0.7393,-90.3518,78.01,92,79,3.83,EC
Caravelas,-17.7125,-39.2481,73.53,87,100,4.07,BR
Nālūt,30.3333,10.85,52.61,40,0,7.83,LY
Grindavik,63.8424,-22.4338,32.0,100,75,10.36,IS
Husavik,66.0449,-17.3389,21.2,93,90,1.39,IS
Karonga,-9.9333,33.9333,73.85,81,100,3.87,MW
Bethel,41.3712,-73.414,21.99,92,21,4.41,US
Tigzirt,36.8886,4.1198,58.64,65,34,12.08,DZ
Jamestown,42.097,-79.2353,17.01,86,90,6.91,US
Butaritari,3.0707,172.7902,81.75,82,100,17.43,KI
Saint-Philippe,-21.3585,55.7679,82.4,51,0,5.75,RE
Yellowknife,62.456,-114.3525,-9.99,77,90,10.36,CA
São João do Piauí,-8.3581,-42.2467,73.13,93,90,1.23,BR
Iqaluit,63.7506,-68.5145,1.4,85,20,3.4,CA
Hukuntsi,-24.0,21.75,69.75,75,98,8.08,BW
Darnah,32.767,22.6367,60.28,48,0,5.79,LY
Svetlaya,46.5389,138.3297,21.38,83,0,5.79,RU
Nikolskoye,59.7035,30.7861,1.99,77,20,2.24,RU
Abu Dhabi,24.4667,54.3667,68.0,94,20,2.3,AE
Cape Town,-33.9258,18.4232,68.0,82,0,12.66,ZA
Alice Springs,-23.7,133.8833,98.01,36,75,10.36,AU
Williams Lake,52.1415,-122.1445,-4.0,77,90,12.66,CA
Gamboma,-1.8764,15.8644,72.64,87,100,2.75,CG
Mariehamn,60.0973,19.9348,-5.8,84,0,2.3,AX
Voyvozh,62.892,54.9635,-13.81,90,97,3.76,RU
Tres Arroyos,-38.3739,-60.2798,55.8,92,28,10.31,AR
Esperance,-33.8667,121.9,66.2,77,90,21.85,AU
Castlerea,53.7667,-8.5,30.0,85,51,7.0,IE
Lavrentiya,65.5833,-171.0,-14.69,78,0,14.09,RU
Castro,-24.7911,-50.0119,56.79,97,100,6.67,BR
Erciş,39.0287,43.3586,26.6,93,20,2.3,TR
Camden,39.7835,-74.9663,33.01,84,39,6.11,US
Ziro,27.6333,93.8333,64.4,77,20,3.44,IN
Pacific Grove,36.6177,-121.9166,55.0,82,90,3.44,US
Hobart,-42.8794,147.3294,73.99,45,20,12.66,AU
Jalu,29.0331,21.5482,53.22,39,15,5.12,LY
Chui,-33.6971,-53.4616,67.08,91,0,6.87,UY
Hambantota,6.1241,81.1185,78.8,73,68,9.22,LK
Gornyy,55.1153,83.9059,-3.66,91,100,14.9,RU
Filingué,14.3521,3.3168,69.19,19,0,8.81,NE
Carnarvon,-24.8667,113.6333,78.8,78,0,25.32,AU
Kanigoro,-8.13,112.219,83.03,75,29,7.38,ID
Dikson,73.5069,80.5464,-27.45,87,98,9.64,RU
Katsuura,35.1333,140.3,52.0,43,40,11.5,JP
Mookane,-23.688,26.6595,67.89,84,59,6.24,BW
Talcahuano,-36.7167,-73.1167,59.0,94,90,10.36,CL
Río Gallegos,-51.6226,-69.2181,59.0,82,0,8.05,AR
Arandis,-22.4167,14.9667,66.0,91,13,6.38,NA
Padang,-0.9492,100.3543,87.8,66,20,4.61,ID
Kajaani,64.2273,27.7285,-14.8,84,90,1.14,FI
Atasū,48.6814,71.6433,-12.1,89,99,8.01,KZ
Kendari,-3.945,122.4989,88.45,61,63,4.72,ID
Mataura,-46.1927,168.8643,50.67,91,100,11.3,NZ
Yarmouth,41.7057,-70.2286,33.01,93,90,3.44,US
Northam,51.0333,-4.2167,32.0,79,56,15.01,GB
Aklavik,68.2191,-135.0107,-32.8,74,0,2.3,CA
Arrondissement de Verdun,49.25,5.3333,23.0,85,100,8.01,FR
Thompson,55.7435,-97.8558,-31.0,75,1,4.61,CA
