City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Hilo,19.7297,-155.09,78.8,53,75,4.61,US
Chapais,49.7834,-74.8492,6.8,61,1,3.44,CA
Bose,45.4612,8.0137,43.0,80,38,5.61,IT
Inhambane,-23.865,35.3833,79.0,83,43,13.73,MZ
Kapaa,22.0752,-159.319,75.2,53,20,11.5,US
Pestyaki,56.7103,42.6717,5.5,94,100,8.14,RU
Rikitea,-23.1203,-134.9692,78.67,77,18,14.83,PF
Hermanus,-34.4187,19.2345,68.0,83,2,1.99,ZA
Barra de Tecoanapa,16.5167,-98.75,82.4,66,0,11.12,MX
Cidreira,-30.1811,-50.2056,74.28,84,56,14.61,BR
Bengkulu,-3.8004,102.2655,73.71,88,69,4.88,ID
Qaanaaq,77.484,-69.3632,6.76,74,100,9.95,GL
Pichayevo,53.2363,42.2032,9.43,95,100,9.78,RU
Vaini,-21.2,-175.2,82.4,89,75,9.22,TO
Severo-Kuril'sk,50.6789,156.125,27.61,90,100,10.31,RU
Saint-Philippe,-21.3585,55.7679,78.8,73,20,2.3,RE
Atuona,-9.8,-139.0333,79.12,78,1,17.13,PF
Bowen,-20.0167,148.2333,77.0,88,40,5.75,AU
Punta Arenas,-53.15,-70.9167,62.6,63,0,11.5,CL
Ust-Kuyga,70.0167,135.6,-16.44,83,23,5.14,RU
Kaitangata,-46.2817,169.8464,57.99,58,95,25.01,NZ
Vieques,18.425,-65.8329,78.8,78,40,11.5,PR
Thompson,55.7435,-97.8558,-18.4,69,75,9.22,CA
Mataura,-46.1927,168.8643,50.88,84,100,13.42,NZ
Albany,42.6001,-73.9662,24.01,47,99,4.16,US
East London,-33.0153,27.9116,75.45,89,6,10.98,ZA
São Filipe,14.8961,-24.4956,72.01,76,50,11.14,CV
Nioro,13.35,-15.75,79.3,17,88,4.18,GM
Ostrovnoy,68.0531,39.5131,6.69,92,44,16.46,RU
Stornoway,58.2093,-6.3865,32.0,59,0,9.22,GB
Henties Bay,-22.116,14.2845,68.0,89,99,8.01,NA
Tafresh,34.692,50.013,45.7,49,100,3.74,IR
Fairbanks,64.8378,-147.7164,3.0,71,1,2.73,US
Fuxin,42.0156,121.6589,28.26,86,0,7.54,CN
Constitución,-35.3333,-72.4167,65.01,83,22,3.29,CL
Barrow,71.2906,-156.7887,-29.2,68,20,9.22,US
Chokurdakh,70.6333,147.9167,-12.26,89,55,8.81,RU
Ushuaia,-54.8,-68.3,77.0,27,0,18.41,AR
Busselton,-33.65,115.3333,55.99,98,24,7.11,AU
Puerto Ayora,-0.7393,-90.3518,78.8,83,75,5.75,EC
Goderich,43.7501,-81.7165,17.6,62,99,4.61,CA
Sobolevo,54.4299,31.8996,-2.87,92,52,5.03,RU
Khatanga,71.9667,102.5,-19.52,83,34,4.63,RU
Port Macquarie,-31.4333,152.9167,75.99,70,72,2.55,AU
Yellowknife,62.456,-114.3525,-5.8,65,1,4.61,CA
Cairns,-16.9167,145.7667,80.01,89,90,1.14,AU
Bolshoy Lug,52.0779,104.0919,-0.4,92,0,2.24,RU
Nieuw Nickerie,5.95,-56.9833,77.2,80,1,12.93,SR
Pevek,69.7008,170.3133,-14.44,70,0,2.8,RU
Russell,32.3502,-85.1999,69.8,60,75,3.18,US
Hobart,-42.8794,147.3294,66.0,59,0,11.5,AU
Balikpapan,-1.2675,116.8289,78.8,100,40,2.3,ID
Roald,62.5833,6.1333,23.0,54,0,10.36,NO
Arraial do Cabo,-22.9661,-42.0278,75.2,88,40,5.75,BR
Mount Isa,-20.7333,139.5,84.2,65,0,6.91,AU
Chul'man,56.8479,124.9104,2.59,93,100,2.24,RU
Prince Rupert,54.3161,-130.3201,23.0,30,1,3.44,CA
Avarua,-21.2078,-159.775,86.0,66,100,9.22,CK
Gravelbourg,49.8834,-106.5512,-16.6,58,93,14.97,CA
Søgne,58.0833,7.8167,23.0,68,76,13.8,NO
Saskylakh,71.9167,114.0833,-22.7,83,0,8.32,RU
Mnogovershinnyy,53.9353,139.9242,6.82,96,86,7.81,RU
Münsingen,48.4113,9.497,18.0,90,100,7.16,DE
Humaitá,-7.5061,-63.0208,75.09,97,100,2.19,BR
Bollnäs,61.3482,16.3946,6.01,74,1,4.0,SE
Lamu,-2.2717,40.902,77.59,81,52,11.59,KE
Panabá,21.2833,-88.2667,83.86,56,0,8.14,MX
Port-Gentil,-0.7193,8.7815,82.4,89,40,4.61,GA
Aykhal,66.0,111.5,-21.01,85,49,6.26,RU
Port Elizabeth,-33.918,25.5701,71.6,100,75,4.61,ZA
Cape Town,-33.9258,18.4232,69.01,83,0,16.11,ZA
Vienenburg,51.95,10.5667,21.2,86,90,4.61,DE
Kapit,2.0167,112.9333,74.35,94,100,1.16,MY
Faya,18.3851,42.4509,53.6,66,0,1.43,SA
Shubarkuduk,49.1447,56.4872,28.47,98,100,11.79,KZ
Aksarka,66.5606,67.7975,-22.54,81,96,3.2,RU
Kudahuvadhoo,2.6708,72.8944,80.44,80,38,11.63,MV
Carnarvon,-24.8667,113.6333,69.8,88,0,18.41,AU
Khorramshahr,30.4397,48.1664,57.2,82,0,2.3,IR
Mersing,2.4312,103.8405,78.8,83,33,5.75,MY
Buala,-8.145,159.5921,82.71,79,87,10.04,SB
Coihueco,-36.6167,-71.8333,87.8,37,20,12.66,CL
Mar del Plata,-38.0023,-57.5575,69.01,83,75,10.36,AR
Warrington,53.3925,-2.5802,30.99,86,0,6.91,GB
Flinders,-34.5833,150.8552,75.0,75,3,1.99,AU
Krasnosel'kup,65.7,82.4667,-23.03,87,100,5.3,RU
Berlevåg,70.8578,29.0864,24.8,58,40,17.27,NO
Klamath Falls,42.2249,-121.7817,52.0,43,1,5.75,US
Namatanai,-3.6667,152.4333,82.6,76,71,3.65,PG
Coquimbo,-29.9533,-71.3436,66.2,77,20,11.5,CL
Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61,ZA
Point Fortin,10.1833,-61.6833,79.0,3,34,5.99,TT
Mahébourg,-20.4081,57.7,78.8,78,40,14.97,MU
San Angelo,31.4638,-100.437,33.8,86,90,14.97,US
Iqaluit,63.7506,-68.5145,8.6,85,75,2.3,CA
Omboué,-1.5746,9.2618,79.32,89,100,3.76,GA
Hasaki,35.7333,140.8333,39.2,65,20,10.36,JP
Vestmanna,62.1564,-7.1664,23.0,86,29,1.14,FO
Jamestown,42.097,-79.2353,21.2,58,90,3.44,US
Saint George,37.1041,-113.5841,66.99,25,1,6.91,US
Souillac,-20.5167,57.5167,78.8,78,40,14.97,MU
San Patricio,28.017,-97.5169,77.0,69,75,19.57,US
Nishihara,26.1842,127.7558,62.6,72,90,25.32,JP
Callaway,30.153,-85.5699,70.0,92,47,1.01,US
Pastavy,55.1168,26.8326,4.1,94,100,5.44,BY
Muroto-misakicho,33.2833,134.15,37.4,75,75,8.05,JP
Faanui,-16.4833,-151.75,81.93,69,0,10.92,PF
Mayo,38.8876,-76.5119,39.2,65,90,5.75,US
Chupa,66.27,33.0549,2.57,92,53,4.25,RU
Yilan,24.757,121.753,68.0,99,100,7.2,TW
Acapulco de Juárez,16.8634,-99.8901,81.79,64,0,10.51,MX
Taraz,42.9,71.3667,28.4,100,90,8.95,KZ
Aksu,41.1231,80.2644,31.62,87,78,3.42,CN
Tuktoyaktuk,69.4541,-133.0374,-25.6,75,20,11.5,CA
Opuwo,-18.0607,13.84,68.85,72,100,5.01,NA
Castro,-24.7911,-50.0119,60.42,95,51,6.67,BR
Kavieng,-2.5744,150.7967,83.23,74,87,7.9,PG
Rūdbār,30.15,62.6,54.77,38,2,1.05,AF
Cabo San Lucas,22.8909,-109.9124,77.0,34,0,1.99,MX
Chui,-33.6971,-53.4616,70.56,85,70,11.34,UY
Nanortalik,60.1432,-45.2371,22.96,89,28,10.47,GL
Port Alfred,-33.5906,26.891,73.99,93,16,1.01,ZA
Bluff,-46.6,168.3333,53.82,87,100,32.82,NZ
Caucayá,-0.1934,-74.7819,84.18,64,92,2.06,CO
Butaritari,3.0707,172.7902,81.64,76,99,16.51,KI
George Town,5.4112,100.3354,78.8,78,20,2.3,MY
College,64.8569,-147.8028,0.0,65,90,3.44,US
Rocha,-34.4833,-54.3333,67.96,87,74,7.49,UY
Mount Gambier,-37.8333,140.7667,71.6,53,79,5.75,AU
Ribeira Grande,38.5167,-28.7,58.53,68,86,34.85,PT
Ponta do Sol,32.6667,-17.1,60.01,76,84,3.0,PT
Boli,45.7667,130.5167,13.33,92,55,3.15,CN
Kunda,25.7167,81.5167,56.73,67,0,3.22,IN
Rincon,32.296,-81.2354,62.01,94,90,6.91,US
Daru,-9.0763,143.2092,82.53,82,100,4.79,PG
Novopokrovka,49.8425,36.5477,32.0,100,90,6.71,UA
Kodinsk,58.6881,99.1844,-10.3,89,72,2.95,RU
Zhezkazgan,47.8043,67.7144,-3.32,88,74,6.82,KZ
Parrita,9.5201,-84.3225,77.0,53,20,18.41,CR
The Valley,18.217,-63.0578,78.8,73,40,14.97,AI
Acarí,-15.4311,-74.6158,75.04,64,57,6.24,PE
Tasiilaq,65.6145,-37.6368,8.6,52,75,1.14,GL
Asău,46.4333,26.4,36.0,72,74,2.53,RO
Upernavik,72.7868,-56.1549,-0.78,92,63,15.61,GL
Chara,56.9064,118.2631,14.72,90,100,7.4,RU
Nikolskoye,59.7035,30.7861,8.01,85,0,4.12,RU
Puerto Escondido,15.85,-97.0667,82.8,61,0,7.99,MX
Bandarbeyla,9.4942,50.8122,73.63,76,56,17.63,SO
Menongue,-14.6585,17.691,62.67,80,100,2.24,AO
Khuzhir,53.1939,107.3397,8.89,85,98,8.32,RU
Cherskiy,68.75,161.3,-11.0,86,0,3.2,RU
Pacific Grove,36.6177,-121.9166,57.99,67,1,5.75,US
Sur,22.5667,59.5289,69.3,61,67,5.08,OM
Hithadhoo,-0.6,73.0833,81.3,80,47,12.17,MV
Machala,-3.2667,-79.9667,87.8,58,90,5.75,EC
Saint-Augustin,51.226,-58.6502,12.54,95,100,11.48,CA
Dingle,10.9995,122.6711,76.84,87,44,1.34,PH
Guerrero Negro,27.9769,-114.0611,60.35,63,68,17.98,MX
Puerto Ayacucho,5.6639,-67.6236,86.59,44,36,11.41,VE
Torbay,47.6666,-52.7314,26.01,80,75,23.02,CA
Fortuna,40.5982,-124.1573,60.01,62,1,6.91,US
Koutiala,12.3917,-5.4642,80.71,15,50,8.88,ML
Pisco,-13.7,-76.2167,77.0,78,90,5.75,PE
